offense_id,category,date,time,neighborhood,npu,x,y
153348020,LARCENY-NON VEHICLE,12/10/2015,11:50:00,NULL,NULL,-84.4477,33.64184
153348035,LARCENY-NON VEHICLE,9/14/2015,12:15:00,NULL,NULL,-84.43915,33.64085
153350022,BURGLARY-RESIDENCE,11/30/2015,21:30:00,Greenbriar,R,-84.4937,33.68077
153350133,BURGLARY-RESIDENCE,11/30/2015,15:00:00,NULL,P,-84.50129,33.68299
153350140,LARCENY-NON VEHICLE,12/1/2015,1:00:00,Loring Heights,E,-84.40742,33.80107
153350249,AGG ASSAULT,12/1/2015,1:30:00,NULL,I,-84.48481,33.75517
153350297,AUTO THEFT,11/30/2015,18:00:00,Morningside/Lenox Park,F,-84.3482,33.79493
153350338,ROBBERY-PEDESTRIAN,12/1/2015,2:30:00,West End,T,-84.42509,33.74574
153350391,BURGLARY-NONRES,12/1/2015,3:30:00,Virginia Highland,F,-84.35308,33.7755
153350430,LARCENY-FROM VEHICLE,12/1/2015,0:50:00,Vine City,L,-84.41629,33.756
153350439,BURGLARY-RESIDENCE,12/1/2015,2:52:00,Reynoldstown,N,-84.35153,33.75188
153350469,LARCENY-FROM VEHICLE,12/1/2015,1:51:00,Downtown,M,-84.39732,33.74827
153350503,BURGLARY-NONRES,12/1/2015,4:59:00,South Tuxedo Park,B,-84.38093,33.83984
153350569,AUTO THEFT,11/30/2015,21:30:00,Fairburn Mays,H,-84.50968,33.74349
153350594,LARCENY-FROM VEHICLE,11/30/2015,17:00:00,Campbellton Road,R,-84.45336,33.70518
153350596,LARCENY-FROM VEHICLE,11/30/2015,23:00:00,Capitol View,X,-84.41346,33.72178
153350697,LARCENY-NON VEHICLE,12/1/2015,7:15:00,Adamsville,H,-84.50433,33.75933
153350718,AUTO THEFT,11/30/2015,22:00:00,Grant Park,W,-84.36097,33.73434
153350755,BURGLARY-RESIDENCE,11/30/2015,20:30:00,Ormewood Park,W,-84.35525,33.73744
153350774,LARCENY-FROM VEHICLE,11/30/2015,22:03:00,Grove Park,J,-84.44121,33.77339
